Wiederaufnahme der Sitzungsperiode	Resumption of the session
Wir haben in der EU eine gemeinsame Fischereipolitik und dies wird auch so bleiben.	We have a common fisheries policy in the EU and that is how it is going to stay.
Drittens: Abschließend möchte ich noch einmal hervorheben, wie wichtig die Einbeziehung des gesamten Fischereisektors - Fischer, Wissenschaft, Industrie und so weiter - in den bevorstehenden Reformprozess ist.	Thirdly: I should like to finish by again highlighting how important it is for the whole fisheries sector - fishermen, science, industry and so on - to be involved in the forthcoming reform process.
Nur so können wir die Akzeptanz der neuen GFP bei den Betroffenen stärken.	This is the only way we shall be able to ensure that the new common fisheries policy is well accepted by those whom it affects.
Herr Präsident, die Fischereipolitik der Europäischen Union ist ein umfangreiches Thema.	Mr President, European Union fisheries policy is a vast subject.
Ich werde es hier aus der Sicht der Globalisierung und der Spezifik von Guinea-Bissau behandeln.	I would like to tackle it from the point of view of globalisation and in relation to the specific problem of Guinea-Bissau.
Was uns, die Fraktion der Grünen, betrifft, so erinnere ich daran, dass wir für eine Ausübung der Fischerei unter Beachtung der natürlichen Gleichgewichte sind, für die Entwicklung der handwerklichen und der Kleinfischerei, die Arbeitsplätze schafft, für eine selektive Fischerei in Abhängigkeit von den verfügbaren Beständen.	As far as the Group of the Greens is concerned, I would remind you that we are in favour of a fisheries policy that respects the natural balance, in favour of developing offshore and inshore fishing, which creates jobs, and in favour of selective fishing, which takes account of available stocks.
Es geht nicht nur darum, eine für die Unternehmen befriedigende wirtschaftliche Entwicklung zu erreichen, sondern auch darum, den sozialen Aspekt zu wahren.	This is a question of achieving economic growth to satisfy businesses as well as protecting social aspects.
Wir sind nicht für die Vergabe von Subventionen zur Förderung der extrem industrialisierten Fischerei, jener Fischerei, die alles ohne Unterschied fängt auf das Risiko hin, die Arten zu gefährden, die Ernährungssicherheit und die Artenvielfalt zu beeinträchtigen, jener Fischerei, die zu einer übermäßigen Vergrößerung der Flotten führt usw. In diesem Zusammenhang sind wir der Meinung, dass die unkontrollierten Marktkräfte eine der Hauptursachen darstellen, die zu dieser Überinvestition führt, und dass diese Fragen im Rahmen der künftigen WTO-Verhandlungen über die Liberalisierung des Handels berücksichtigt werden müssen.	We are against granting subsidies that encourage excessive industrial fishing, which catches everything indiscriminately, to the point of wiping out species and harming food safety and biodiversity, a fisheries policy which allows fleets to grow out of all proportion, and so forth. Because of this, we consider that untrammelled market forces represent one of the factors leading to such over-investment and that these issues should be taken into consideration in the next round of WTO trade negotiations on liberalisation.
Wir fordern daher von der Kommission, den anderen Mitgliedern der WTO angemessene Vorschläge sowohl zur Frage der Ausrichtung der subventionierten Sektoren als auch zu den sozialen Aspekten zu unterbreiten.	We therefore request that the Commission present appropriate proposals, both on the issue of the future direction of the subsidised sectors and on social aspects to the other members of the WTO.
Des Weiteren befürworten wir im Großen und Ganzen nicht den Abschluss von bilateralen Handelsabkommen zwischen der Europäischen Union und den meist sehr kleinen Drittländern, deren Haushalt oft in der gleichen Größenordnung liegt wie die gewährten Subventionen.	Furthermore, we are, generally, not particularly in favour of the bilateral fishing agreements between the European Union and third countries, often small countries, whose entire budgets are occasionally no larger than the subsidies granted them.
Es muss so weit wie möglich auf integrierter Ebene gehandelt werden.	It is essential that we remain as integrated as possible.
Im Falle von Guinea-Bissau befürworten wir jedoch die Vergabe der vorhandenen Reserve von 6,5 Millionen Euro, da diese für Unterstützungsmaßnahmen für die örtliche Fischerei, für Infrastrukturen und Kontrolltätigkeiten verwendet und dem Parlament ein detaillierter Bericht über die Verwendung dieser Mittel vorgelegt wird.	However, we accept that a reserve of EUR 6.5 million was allocated to Guinea-Bissau, given that it is assigned to an action programme which will support the local fishing industry, infrastructure and controls and that a detailed report on how these funds are being used will be submitted to Parliament.
Herr Präsident, Herr Kommissar, zunächst möchte ich den Kollegen Varela, der einen anschaulichen, einstimmig vom Ausschuss angenommenen Bericht vorgelegt hat, sowie den Kollegen Cunha zu seiner ebenfalls ausgezeichneten Arbeit beglückwünschen.	Mr President, Commissioner, I would like to start by congratulating Mr Varela on his far-sighted report, which was accepted by the entire committee, and Mr Cunha, who has also done an excellent job.
Gleichwohl steht außer Zweifel, dass die sensibelsten Fragen und Themen, die wir heute behandeln, wie bereits von anderen Kolleginnen und Kollegen erwähnt, in den Berichten Gallagher und Poignant enthalten sind.	However, it cannot be denied that, as has already been mentioned, the points and issues we are discussing today are the same as those dealt with by the Gallagher and Poignant reports.
Ich werde hier die technischen Gründe für den sensiblen Charakter dieser Themen nicht wiederholen: die Frage der 6/12-Meilen-Zone, die Schutzzonen, die Gewährleistung des Grundsatzes der relativen Stabilität der Fischereitätigkeiten oder die Regionalisierung, die gewissermaßen als Renationalisierung ausgelegt werden kann.	I will not go back over the technical reasons why these issues are sensitive: the 6/12 mile limits, protected areas, maintaining the principle of relative stability, regionalisation which can somehow be interpreted as renationalisation.
Ich pflichte den Äußerungen der Kolleginnen und Kollegen zu der von ihnen hervorgehobenen Spezifik und Brisanz dieser Themen bei.	I, too, see the nature of these issues as very specific and share the view stressed by my fellow Members that they are sensitive.
Gerade weil wir uns in einer Reformphase befinden - und eine Reform wird durchgeführt, weil unser System nicht funktioniert, sonst würden wir uns ja nicht mit einer Reform befassen -, müssen wir uns dessen voll bewusst sein, dass wir nicht alles beim Alten lassen können und andererseits auch keine Widersprüche in den Empfehlungen, die wir geben, beibehalten dürfen.	With regard to this, I repeat that, for the very reason that we are going through a period of reform - and if we are carrying out reforms then it is because our current strategy is not working or the possibility of reform would not arise - we must be very aware that we cannot leave everything as it is, nor, moreover, can we continue to be inconsistent in our recommendations.
In diesem Sinne hat die Europäische Volkspartei einige Änderungsanträge eingebracht, mit denen speziell versucht wird, den Positionen mehr Konsequenz zu verleihen.	In this regard, the Group of the European People' s Party has tabled amendments aimed precisely at achieving greater coherence between the positions.
Ich möchte jedoch eine Aufforderung an den Herrn Kommissar und an uns alle richten: In diesen Fragen müssen wir unbedingt eine Balance finden, und zwar auch aus einem wichtigen politischen Grund.	I would, however, make one entreaty to the Commissioner and to all of us: it is important that a balance is found, for a major political reason apart from anything else.
Hinter uns liegt die letzte Plenartagung vom Dezember, in deren Verlauf wir alle, die Kommission und das Parlament, Kritik am Europäischen Rat von Nizza übten, weil ein Prozess der Renationalisierung und der Verteidigung nationaler Interessen durch die Mitgliedstaaten eingeleitet wurde, und wir betonten damals, dass dieser Rat die Gemeinschaftsmethode in Gefahr bringe.	At the last part-session in December, we all - Commission and Parliament - criticised Nice because the countries' desire to protect their own national interests took root once again and we condemned that Council for placing the Community method in crisis.
